"time","p01","estimator"
441.25,0.00627944784369365,"Semi"
442.05,0.00627944784369365,"Semi"
442.85,0.00627944784369365,"Semi"
443.65,0.00627944784369365,"Semi"
444.45,0.00627944784369365,"Semi"
445.25,0.00617362773787355,"Semi"
446.05,0.00617362773787355,"Semi"
446.85,0.00617362773787355,"Semi"
447.65,0.00617362773787355,"Semi"
448.45,0.00617362773787355,"Semi"
449.25,0.00617362773787355,"Semi"
450.05,0.00617362773787355,"Semi"
450.85,0.00617362773787355,"Semi"
451.65,0.00617362773787355,"Semi"
452.45,0.00617362773787355,"Semi"
453.25,0.00606307824184919,"Semi"
454.05,0.00606307824184919,"Semi"
454.85,0.00606307824184919,"Semi"
455.65,0.00606307824184919,"Semi"
456.45,0.00606307824184919,"Semi"
457.25,0.00606307824184919,"Semi"
458.05,0.00606307824184919,"Semi"
458.85,0.00606307824184919,"Semi"
459.65,0.00606307824184919,"Semi"
460.45,0.00606307824184919,"Semi"
461.25,0.00606307824184919,"Semi"
462.05,0.00606307824184919,"Semi"
462.85,0.00606307824184919,"Semi"
463.65,0.00606307824184919,"Semi"
464.45,0.00606307824184919,"Semi"
465.25,0.00606307824184919,"Semi"
466.05,0.0116733958984838,"Semi"
466.85,0.0113301438693242,"Semi"
467.65,0.011215726526271,"Semi"
468.45,0.011215726526271,"Semi"
469.25,0.0107580571540583,"Semi"
470.05,0.0107580571540583,"Semi"
470.85,0.010529222467952,"Semi"
471.65,0.0103003877818456,"Semi"
472.45,0.0103003877818456,"Semi"
473.25,0.0103003877818456,"Semi"
474.05,0.0101859704387924,"Semi"
474.85,0.0101859704387924,"Semi"
475.65,0.0101859704387924,"Semi"
476.45,0.0101859704387924,"Semi"
477.25,0.0101859704387924,"Semi"
478.05,0.0101859704387924,"Semi"
478.85,0.0100801503329723,"Semi"
479.65,0.00996573298991915,"Semi"
480.45,0.00996573298991915,"Semi"
481.25,0.00985131564686597,"Semi"
482.05,0.00962634880778844,"Semi"
482.85,0.00962634880778844,"Semi"
483.65,0.00962634880778844,"Semi"
484.45,0.0155565159782276,"Semi"
485.25,0.015086288604948,"Semi"
486.05,0.0149676852615393,"Semi"
486.85,0.0144932718879041,"Semi"
487.65,0.0144932718879041,"Semi"
488.45,0.0144932718879041,"Semi"
489.25,0.0202228383417136,"Semi"
490.05,0.0195132079234052,"Semi"
490.85,0.0192794551175395,"Semi"
491.65,0.0186835099228806,"Semi"
492.45,0.0186835099228806,"Semi"
493.25,0.0186835099228806,"Semi"
494.05,0.0184448389972555,"Semi"
494.85,0.0182061680716304,"Semi"
495.65,0.0182061680716304,"Semi"
496.45,0.0182061680716304,"Semi"
497.25,0.0180868326088179,"Semi"
498.05,0.0178538119223559,"Semi"
498.85,0.0177352085789471,"Semi"
499.65,0.0176166052355383,"Semi"
500.45,0.0176166052355383,"Semi"
501.25,0.0176166052355383,"Semi"
502.05,0.0236584321263619,"Semi"
502.85,0.0230579837066912,"Semi"
503.65,0.0228178117060622,"Semi"
504.45,0.0228178117060622,"Semi"
505.25,0.0222151300919837,"Semi"
506.05,0.0222151300919837,"Semi"
506.85,0.0219734570163508,"Semi"
507.65,0.0214938451344965,"Semi"
508.45,0.0214938451344965,"Semi"
509.25,0.0213752417910877,"Semi"
510.05,0.0211399879102181,"Semi"
510.85,0.0211399879102181,"Semi"
511.65,0.0268554791829896,"Semi"
512.45,0.0268554791829896,"Semi"
513.25,0.026614537522884,"Semi"
514.05,0.0260087772708994,"Semi"
514.85,0.0260087772708994,"Semi"
515.65,0.0254155754990638,"Semi"
516.45,0.0254155754990638,"Semi"
517.25,0.0250515265666613,"Semi"
518.05,0.0249306900288448,"Semi"
518.85,0.0248090838315518,"Semi"
519.65,0.0248090838315518,"Semi"
520.45,0.0248090838315518,"Semi"
521.25,0.0245689118309228,"Semi"
522.05,0.0245689118309228,"Semi"
522.85,0.0244544944878696,"Semi"
523.65,0.0244544944878696,"Semi"
524.45,0.0244544944878696,"Semi"
525.25,0.0243328882905766,"Semi"
526.05,0.0240904455554671,"Semi"
526.85,0.0238480028203577,"Semi"
527.65,0.0237293994769489,"Semi"
528.45,0.0237293994769489,"Semi"
529.25,0.0237293994769489,"Semi"
530.05,0.0236077932796559,"Semi"
530.85,0.0236077932796559,"Semi"
531.65,0.0236077932796559,"Semi"
532.45,0.0236077932796559,"Semi"
533.25,0.0234884578168433,"Semi"
534.05,0.0233676212790269,"Semi"
534.85,0.0232460150817338,"Semi"
535.65,0.0231244088844408,"Semi"
536.45,0.0231244088844408,"Semi"
537.25,0.0231244088844408,"Semi"
538.05,0.0231244088844408,"Semi"
538.85,0.0230099915413877,"Semi"
539.65,0.0230099915413877,"Semi"
540.45,0.0230099915413877,"Semi"
541.25,0.0228913881979789,"Semi"
542.05,0.0228913881979789,"Semi"
542.85,0.0227697820006859,"Semi"
543.65,0.0227697820006859,"Semi"
544.45,0.0227697820006859,"Semi"
545.25,0.0227697820006859,"Semi"
546.05,0.0225296100000569,"Semi"
546.85,0.0225296100000569,"Semi"
547.65,0.0225296100000569,"Semi"
548.45,0.0225296100000569,"Semi"
549.25,0.0225296100000569,"Semi"
550.05,0.0225296100000569,"Semi"
550.85,0.0225296100000569,"Semi"
551.65,0.0286795558459275,"Semi"
552.45,0.0286795558459275,"Semi"
553.25,0.0285487059343132,"Semi"
554.05,0.0280253062878562,"Semi"
554.85,0.0279037000905631,"Semi"
555.65,0.0276420002673346,"Semi"
556.45,0.0276420002673346,"Semi"
557.25,0.0272616971006973,"Semi"
558.05,0.0272616971006973,"Semi"
558.85,0.0270100106512665,"Semi"
559.65,0.0270100106512665,"Semi"
560.45,0.0270100106512665,"Semi"
561.25,0.0270100106512665,"Semi"
562.05,0.026890675188454,"Semi"
562.85,0.026890675188454,"Semi"
563.65,0.026890675188454,"Semi"
564.45,0.026890675188454,"Semi"
565.25,0.0267598252768397,"Semi"
566.05,0.0266289753652255,"Semi"
566.85,0.0264981254536112,"Semi"
567.65,0.0263765192563182,"Semi"
568.45,0.0263765192563182,"Semi"
569.25,0.0263765192563182,"Semi"
570.05,0.0262456693447039,"Semi"
570.85,0.0262456693447039,"Semi"
571.65,0.0262456693447039,"Semi"
572.45,0.0262456693447039,"Semi"
573.25,0.0261312520016507,"Semi"
574.05,0.0261312520016507,"Semi"
574.85,0.02587956555222,"Semi"
575.65,0.0257487156406057,"Semi"
576.45,0.0325296521263632,"Semi"
577.25,0.0321227959372177,"Semi"
578.05,0.0319871772075026,"Semi"
578.85,0.031444702288642,"Semi"
579.65,0.031444702288642,"Semi"
580.45,0.031444702288642,"Semi"
581.25,0.0311734648292117,"Semi"
582.05,0.0309022273697814,"Semi"
582.85,0.0307713774581671,"Semi"
583.65,0.030514152531159,"Semi"
584.45,0.030514152531159,"Semi"
585.25,0.030514152531159,"Semi"
586.05,0.030514152531159,"Semi"
586.85,0.030514152531159,"Semi"
587.65,0.030514152531159,"Semi"
588.45,0.030514152531159,"Semi"
589.25,0.030514152531159,"Semi"
590.05,0.0303785338014438,"Semi"
590.85,0.0301243117283199,"Semi"
591.65,0.0299886929986047,"Semi"
592.45,0.0299886929986047,"Semi"
593.25,0.0299886929986047,"Semi"
594.05,0.0299886929986047,"Semi"
594.85,0.0297222243572753,"Semi"
595.65,0.0296028888944628,"Semi"
596.45,0.0296028888944628,"Semi"
597.25,0.0296028888944628,"Semi"
598.05,0.0296028888944628,"Semi"
598.85,0.0296028888944628,"Semi"
599.65,0.0294672701647476,"Semi"
600.45,0.0294672701647476,"Semi"
601.25,0.0293316514350325,"Semi"
602.05,0.0293316514350325,"Semi"
602.85,0.0293316514350325,"Semi"
603.65,0.0293316514350325,"Semi"
604.45,0.0293316514350325,"Semi"
605.25,0.0293316514350325,"Semi"
606.05,0.0293316514350325,"Semi"
606.85,0.0293316514350325,"Semi"
607.65,0.0290651827937031,"Semi"
608.45,0.0290651827937031,"Semi"
609.25,0.0289443462558866,"Semi"
610.05,0.0289443462558866,"Semi"
610.85,0.0289443462558866,"Semi"
611.65,0.0289443462558866,"Semi"
612.45,0.0289443462558866,"Semi"
613.25,0.0289443462558866,"Semi"
614.05,0.0289443462558866,"Semi"
614.85,0.0289443462558866,"Semi"
615.65,0.0289443462558866,"Semi"
616.45,0.0289443462558866,"Semi"
617.25,0.0289443462558866,"Semi"
618.05,0.0288227400585936,"Semi"
618.85,0.0288227400585936,"Semi"
619.65,0.0286871213288784,"Semi"
620.45,0.0286871213288784,"Semi"
621.25,0.0286871213288784,"Semi"
622.05,0.0286871213288784,"Semi"
622.85,0.0286871213288784,"Semi"
623.65,0.0285562714172642,"Semi"
624.45,0.0285562714172642,"Semi"
625.25,0.0285562714172642,"Semi"
626.05,0.0285562714172642,"Semi"
626.85,0.0285562714172642,"Semi"
627.65,0.0285562714172642,"Semi"
628.45,0.0285562714172642,"Semi"
629.25,0.0285562714172642,"Semi"
630.05,0.0285562714172642,"Semi"
630.85,0.0285562714172642,"Semi"
631.65,0.0285562714172642,"Semi"
632.45,0.0285562714172642,"Semi"
633.25,0.028420652687549,"Semi"
634.05,0.028420652687549,"Semi"
634.85,0.028420652687549,"Semi"
635.65,0.028420652687549,"Semi"
636.45,0.028420652687549,"Semi"
637.25,0.028420652687549,"Semi"
638.05,0.028420652687549,"Semi"
638.85,0.028420652687549,"Semi"
639.65,0.028420652687549,"Semi"
640.45,0.028420652687549,"Semi"
641.25,0.028420652687549,"Semi"
642.05,0.028420652687549,"Semi"
642.85,0.028420652687549,"Semi"
643.65,0.028420652687549,"Semi"
644.45,0.028420652687549,"Semi"
645.25,0.028420652687549,"Semi"
646.05,0.028420652687549,"Semi"
646.85,0.028420652687549,"Semi"
647.65,0.028420652687549,"Semi"
648.45,0.028420652687549,"Semi"
649.25,0.0282850339578339,"Semi"
650.05,0.0282850339578339,"Semi"
650.85,0.0282850339578339,"Semi"
651.65,0.0282850339578339,"Semi"
652.45,0.0282850339578339,"Semi"
653.25,0.0282850339578339,"Semi"
654.05,0.0282850339578339,"Semi"
654.85,0.0282850339578339,"Semi"
655.65,0.0282850339578339,"Semi"
656.45,0.0353260157541502,"Semi"
657.25,0.0349035568463712,"Semi"
658.05,0.0346318872988306,"Semi"
658.85,0.0340686087551253,"Semi"
659.65,0.0340686087551253,"Semi"
660.45,0.0340686087551253,"Semi"
661.25,0.0337869694832726,"Semi"
662.05,0.03350533021142,"Semi"
662.85,0.03350533021142,"Semi"
663.65,0.0333645105754937,"Semi"
664.45,0.0333645105754937,"Semi"
665.25,0.0333645105754937,"Semi"
666.05,0.0333645105754937,"Semi"
666.85,0.0333645105754937,"Semi"
667.65,0.0333645105754937,"Semi"
668.45,0.0333645105754937,"Semi"
669.25,0.0333645105754937,"Semi"
670.05,0.0332236909395673,"Semi"
670.85,0.033082871303641,"Semi"
671.65,0.0329420516677147,"Semi"
672.45,0.0329420516677147,"Semi"
673.25,0.0329420516677147,"Semi"
674.05,0.0329420516677147,"Semi"
674.85,0.0328012320317884,"Semi"
675.65,0.0328012320317884,"Semi"
676.45,0.0328012320317884,"Semi"
677.25,0.0328012320317884,"Semi"
678.05,0.0328012320317884,"Semi"
678.85,0.0328012320317884,"Semi"
679.65,0.032660412395862,"Semi"
680.45,0.032660412395862,"Semi"
681.25,0.0325195927599357,"Semi"
682.05,0.0325195927599357,"Semi"
682.85,0.0323839740302206,"Semi"
683.65,0.0323839740302206,"Semi"
684.45,0.0323839740302206,"Semi"
685.25,0.0323839740302206,"Semi"
686.05,0.0323839740302206,"Semi"
686.85,0.0323839740302206,"Semi"
687.65,0.0322431543942942,"Semi"
688.45,0.0322431543942942,"Semi"
689.25,0.0322431543942942,"Semi"
690.05,0.0322431543942942,"Semi"
690.85,0.0322431543942942,"Semi"
691.65,0.0322431543942942,"Semi"
692.45,0.0322431543942942,"Semi"
693.25,0.0322431543942942,"Semi"
694.05,0.0322431543942942,"Semi"
694.85,0.0322431543942942,"Semi"
695.65,0.0322431543942942,"Semi"
696.45,0.0322431543942942,"Semi"
697.25,0.0322431543942942,"Semi"
698.05,0.0322431543942942,"Semi"
698.85,0.0322431543942942,"Semi"
699.65,0.0321023347583679,"Semi"
700.45,0.0321023347583679,"Semi"
701.25,0.0321023347583679,"Semi"
702.05,0.0321023347583679,"Semi"
702.85,0.0321023347583679,"Semi"
703.65,0.0321023347583679,"Semi"
704.45,0.0321023347583679,"Semi"
705.25,0.0321023347583679,"Semi"
706.05,0.0321023347583679,"Semi"
706.85,0.0321023347583679,"Semi"
707.65,0.0321023347583679,"Semi"
708.45,0.0321023347583679,"Semi"
709.25,0.0321023347583679,"Semi"
710.05,0.0321023347583679,"Semi"
710.85,0.0321023347583679,"Semi"
711.65,0.0321023347583679,"Semi"
712.45,0.0321023347583679,"Semi"
713.25,0.0319615151224416,"Semi"
714.05,0.0319615151224416,"Semi"
714.85,0.0319615151224416,"Semi"
715.65,0.0319615151224416,"Semi"
716.45,0.0319615151224416,"Semi"
717.25,0.0319615151224416,"Semi"
718.05,0.0319615151224416,"Semi"
718.85,0.0319615151224416,"Semi"
719.65,0.0319615151224416,"Semi"
720.45,0.0319615151224416,"Semi"
721.25,0.0319615151224416,"Semi"
722.05,0.0319615151224416,"Semi"
722.85,0.0319615151224416,"Semi"
723.65,0.0319615151224416,"Semi"
724.45,0.0319615151224416,"Semi"
725.25,0.0319615151224416,"Semi"
726.05,0.0319615151224416,"Semi"
726.85,0.0319615151224416,"Semi"
727.65,0.0319615151224416,"Semi"
728.45,0.0319615151224416,"Semi"
729.25,0.0318206954865153,"Semi"
730.05,0.0318206954865153,"Semi"
730.85,0.0318206954865153,"Semi"
731.65,0.0318206954865153,"Semi"
732.45,0.0318206954865153,"Semi"
733.25,0.0318206954865153,"Semi"
734.05,0.0318206954865153,"Semi"
734.85,0.0318206954865153,"Semi"
735.65,0.0318206954865153,"Semi"
736.45,0.0318206954865153,"Semi"
737.25,0.0318206954865153,"Semi"
738.05,0.0318206954865153,"Semi"
738.85,0.0318206954865153,"Semi"
739.65,0.0318206954865153,"Semi"
740.45,0.0318206954865153,"Semi"
741.25,0.0318206954865153,"Semi"
742.05,0.0318206954865153,"Semi"
742.85,0.0318206954865153,"Semi"
743.65,0.0318206954865153,"Semi"
744.45,0.0318206954865153,"Semi"
745.25,0.0318206954865153,"Semi"
746.05,0.0318206954865153,"Semi"
746.85,0.0318206954865153,"Semi"
747.65,0.0318206954865153,"Semi"
748.45,0.0318206954865153,"Semi"
749.25,0.0318206954865153,"Semi"
750.05,0.0318206954865153,"Semi"
750.85,0.0318206954865153,"Semi"
751.65,0.0318206954865153,"Semi"
752.45,0.0318206954865153,"Semi"
753.25,0.0318206954865153,"Semi"
754.05,0.0318206954865153,"Semi"
754.85,0.0318206954865153,"Semi"
755.65,0.0318206954865153,"Semi"
756.45,0.0318206954865153,"Semi"
757.25,0.0318206954865153,"Semi"
758.05,0.0318206954865153,"Semi"
758.85,0.0318206954865153,"Semi"
759.65,0.0318206954865153,"Semi"
760.45,0.0318206954865153,"Semi"
761.25,0.0318206954865153,"Semi"
762.05,0.0318206954865153,"Semi"
762.85,0.0316798758505889,"Semi"
763.65,0.0316798758505889,"Semi"
764.45,0.0316798758505889,"Semi"
765.25,0.0316798758505889,"Semi"
766.05,0.0316798758505889,"Semi"
766.85,0.0316798758505889,"Semi"
767.65,0.0316798758505889,"Semi"
768.45,0.0316798758505889,"Semi"
769.25,0.0316798758505889,"Semi"
770.05,0.0316798758505889,"Semi"
770.85,0.0316798758505889,"Semi"
771.65,0.0316798758505889,"Semi"
772.45,0.0316798758505889,"Semi"
773.25,0.0316798758505889,"Semi"
774.05,0.0316798758505889,"Semi"
774.85,0.0316798758505889,"Semi"
775.65,0.0316798758505889,"Semi"
776.45,0.0316798758505889,"Semi"
777.25,0.0316798758505889,"Semi"
778.05,0.0316798758505889,"Semi"
778.85,0.0316798758505889,"Semi"
779.65,0.0316798758505889,"Semi"
780.45,0.0316798758505889,"Semi"
781.25,0.0316798758505889,"Semi"
782.05,0.0316798758505889,"Semi"
782.85,0.0316798758505889,"Semi"
783.65,0.0316798758505889,"Semi"
784.45,0.0316798758505889,"Semi"
785.25,0.0316798758505889,"Semi"
786.05,0.0316798758505889,"Semi"
786.85,0.0316798758505889,"Semi"
787.65,0.0316798758505889,"Semi"
788.45,0.0316798758505889,"Semi"
789.25,0.0316798758505889,"Semi"
790.05,0.0316798758505889,"Semi"
790.85,0.0316798758505889,"Semi"
791.65,0.0316798758505889,"Semi"
792.45,0.0316798758505889,"Semi"
793.25,0.0316798758505889,"Semi"
794.05,0.0316798758505889,"Semi"
794.85,0.0316798758505889,"Semi"
795.65,0.0316798758505889,"Semi"
796.45,0.0316798758505889,"Semi"
797.25,0.0316798758505889,"Semi"
798.05,0.0316798758505889,"Semi"
798.85,0.0316798758505889,"Semi"
799.65,0.0316798758505889,"Semi"
800.45,0.0316798758505889,"Semi"
801.25,0.0316798758505889,"Semi"
802.05,0.0316798758505889,"Semi"
802.85,0.0316798758505889,"Semi"
803.65,0.0316798758505889,"Semi"
804.45,0.0316798758505889,"Semi"
805.25,0.0316798758505889,"Semi"
806.05,0.0316798758505889,"Semi"
806.85,0.0316798758505889,"Semi"
807.65,0.0316798758505889,"Semi"
808.45,0.0316798758505889,"Semi"
809.25,0.0316798758505889,"Semi"
810.05,0.0316798758505889,"Semi"
810.85,0.0316798758505889,"Semi"
811.65,0.0316798758505889,"Semi"
812.45,0.0316798758505889,"Semi"
813.25,0.0316798758505889,"Semi"
814.05,0.0316798758505889,"Semi"
814.85,0.0316798758505889,"Semi"
815.65,0.0316798758505889,"Semi"
816.45,0.0316798758505889,"Semi"
817.25,0.0316798758505889,"Semi"
818.05,0.0316798758505889,"Semi"
818.85,0.0316798758505889,"Semi"
819.65,0.0316798758505889,"Semi"
820.45,0.0316798758505889,"Semi"
821.25,0.0316798758505889,"Semi"
