"time","pstate3"
3.01,0
3.04,0.000771010023130301
3.07,0.000774189445906096
3.1,0.000774189445906096
3.13,0.00154639344560557
3.16,0.00155590755973978
3.19,0.00229850961475314
3.22,0.00229850961475314
3.25,0.00379785509883089
3.28,0.00446853391519806
3.31,0.00524623104955804
3.34,0.00602705146558211
3.37,0.00759247962381954
3.4,0.00916172900620238
3.43,0.00994635369739381
3.46,0.0110570884039507
3.49,0.0110570884039507
3.52,0.0126276346866495
3.55,0.0123459045315979
3.58,0.0124229174566431
3.61,0.0148645886183228
3.64,0.0143415058995602
3.67,0.01404192517321
3.7,0.0145315816941233
3.73,0.0162884737001745
3.76,0.016394536400239
3.79,0.016394536400239
3.82,0.016394536400239
3.85,0.016394536400239
3.88,0.0187670004824253
3.91,0.0188864590818835
3.94,0.0185297012444959
3.97,0.0185297012444959
4,0.0181730511169342
4.03,0.0181730511169342
4.06,0.0181730511169342
4.09,0.018314612253315
4.12,0.0191072797608951
4.15,0.0206926147760552
4.18,0.0206926147760552
4.21,0.0206926147760552
4.24,0.0206926147760552
4.27,0.0208532946021789
4.3,0.0204742436800553
4.33,0.0212669111876354
4.36,0.0228522462027956
4.39,0.0232432460876667
4.42,0.0230125909455064
4.45,0.0230049624176722
4.48,0.0225939243178134
4.51,0.0225939243178134
4.54,0.0217794632976616
4.57,0.0213691469263984
4.6,0.0213691469263984
4.63,0.0215617310585417
4.66,0.0225524168427244
4.69,0.0233473033574902
4.72,0.024142189872256
4.75,0.0249370763870218
4.78,0.0249370763870218
4.81,0.0247184876862929
4.84,0.0250868582788335
4.87,0.0250868582788335
4.9,0.0250240714896975
4.93,0.0245039588843067
4.96,0.0245039588843067
4.99,0.0252996208981113
5.02,0.0251996955498856
5.05,0.0242904771020157
5.08,0.0250869222477236
5.11,0.0258833673934316
5.14,0.0254026611391608
5.17,0.0254026611391608
5.2,0.0254026611391608
5.23,0.0261998979798446
5.26,0.0252356625373906
5.29,0.0254769800962841
5.32,0.0265906482621126
5.35,0.0265906482621126
5.38,0.0265906482621126
5.41,0.0268394199521514
5.44,0.0263507280305158
5.47,0.0274021282589999
5.5,0.0274021282589999
5.53,0.0274021282589999
5.56,0.0285101166321462
5.59,0.0280088880619357
5.62,0.0280088880619357
5.65,0.0280088880619357
5.68,0.0288779794227403
5.71,0.0304756990158185
5.74,0.0304756990158185
5.77,0.0312745588123576
5.8,0.0331385046660599
5.83,0.0331385046660599
5.86,0.0331385046660599
5.89,0.0325911326600374
5.92,0.0328432543022348
5.95,0.0336656939611561
5.98,0.0331281841114845
6.01,0.0320639438797725
6.04,0.031527900683964
6.07,0.0309935657880785
6.1,0.0309935657880785
