age,pyrs,cases,semi,nonsemi,parity,cohort,motherage
20,42808.242503,4,1,3,1,1950,12
20,2743.667273,0,0,0,2,1950,12
20,85,0,0,0,3,1950,12
20,27693.232233,3,1,2,1,1950,20
20,6124.6955685,0,0,0,2,1950,20
20,515,0,0,0,3,1950,20
20,20,0,0,0,4,1950,20
20,75059.053125,16,2,14,1,1958,12
20,9462.6161314,0,0,0,2,1958,12
20,465,0,0,0,3,1958,12
20,5,0,0,0,4,1958,12
20,162321.34696,25,8,17,1,1958,20
20,83923.163216,8,1,7,2,1958,20
20,16142.891616,2,0,2,3,1958,20
20,2380.290411,0,0,0,4,1958,20
20,17947.625578,1,1,0,1,1958,25
20,19424.51298,2,1,1,2,1958,25
20,6613.7996482,2,1,1,3,1958,25
20,1607.7796841,0,0,0,4,1958,25
20,97743.326776,13,3,10,1,1963,12
20,14358.764114,4,0,4,2,1963,12
20,728.8336103,0,0,0,3,1963,12
20,15,0,0,0,4,1963,12
20,210366.59226,29,6,23,1,1963,20
20,127992.3954,27,6,21,2,1963,20
20,29153.520638,3,0,3,3,1963,20
20,5250.5316116,0,0,0,4,1963,20
20,79712.442922,7,1,6,1,1963,25
20,115421.71454,18,6,12,2,1963,25
20,50766.419769,3,1,2,3,1963,25
20,17356.872999,1,0,1,4,1963,25
20,4389.6427128,2,0,2,1,1963,30
20,10226.696811,1,0,1,2,1963,30
20,7563.4359608,1,1,0,3,1963,30
20,3551.3659031,0,0,0,4,1963,30
20,36812.224732,5,3,2,1,1968,12
20,4219.9835317,1,0,1,2,1968,12
20,184.27919754,0,0,0,3,1968,12
20,8.353671682,0,0,0,4,1968,12
20,99042.700816,23,2,21,1,1968,20
20,59801.871667,3,0,3,2,1968,20
20,9629.1979789,4,1,3,3,1968,20
20,1463.7409686,0,0,0,4,1968,20
20,45282.411056,3,1,2,1,1968,25
20,66826.033258,1,0,1,2,1968,25
20,24940.822195,0,0,0,3,1968,25
20,6751.6431769,0,0,0,4,1968,25
20,8758.4762482,2,0,2,1,1968,30
20,20682.410734,3,0,3,2,1968,30
20,18250.72078,3,0,3,3,1968,30
20,8245.18702,2,1,1,4,1968,30
25,42260.102433,4,3,1,1,1950,12
25,2700.1177483,0,0,0,2,1950,12
25,85,0,0,0,3,1950,12
25,27386.154211,7,1,6,1,1950,20
25,6032.2207276,0,0,0,2,1950,20
25,515,0,0,0,3,1950,20
25,20,0,0,0,4,1950,20
25,74156.690995,14,2,12,1,1958,12
25,9311.1789206,2,2,0,2,1958,12
25,462.88493151,0,0,0,3,1958,12
25,5,0,0,0,4,1958,12
25,160060.17739,39,18,21,1,1958,20
25,82878.108638,19,7,12,2,1958,20
25,15940.070956,6,4,2,3,1958,20
25,2350.6575866,0,0,0,4,1958,20
25,17641.330324,3,2,1,1,1958,25
25,19121.598877,9,5,4,2,1958,25
25,6523.3316715,1,0,1,3,1958,25
25,1582.6658133,0,0,0,4,1958,25
25,48245.165155,18,5,13,1,1963,12
25,7039.5630511,2,1,1,2,1963,12
25,375.04519799,0,0,0,3,1963,12
25,12.399348754,0,0,0,4,1963,12
25,99898.181615,25,7,18,1,1963,20
25,61373.898144,13,4,9,2,1963,20
25,14381.007141,5,2,3,3,1963,20
25,2661.7844599,0,0,0,4,1963,20
25,37782.264024,13,7,6,1,1963,25
25,53755.089288,7,2,5,2,1963,25
25,22972.21837,7,3,4,3,1963,25
25,7970.9265514,3,1,2,4,1963,25
25,868.84036979,0,0,0,1,1963,30
25,2006.4921551,0,0,0,2,1963,30
25,1514.5550266,0,0,0,3,1963,30
25,692.09923647,0,0,0,4,1963,30
30,57086.53361,21,12,9,1,1950,12
30,3433.2258552,0,0,0,2,1950,12
30,105.78579235,1,1,0,3,1950,12
30,31670.611992,7,4,3,1,1950,20
30,6809.555573,1,1,0,2,1950,20
30,572.19265664,0,0,0,3,1950,20
30,21.402739726,0,0,0,4,1950,20
30,34930.060326,8,5,3,1,1958,12
30,4024.4106221,1,1,0,2,1958,12
30,196.07579909,0,0,0,3,1958,12
30,0.5479452055,0,0,0,4,1958,12
30,73985.492432,32,21,11,1,1958,20
30,34794.660566,5,5,0,2,1958,20
30,5915.2313047,0,0,0,3,1958,20
30,823.57056666,0,0,0,4,1958,20
30,3463.2421289,2,1,1,1,1958,25
30,3426.0141478,0,0,0,2,1958,25
30,1116.9288345,0,0,0,3,1958,25
30,245.34852908,0,0,0,4,1958,25
